what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1413614415201
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1413614421812
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1413614423133
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1413614423137
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614429115
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614444521
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614452379
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614497996
started,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1413614503529
started,bundle,org.eclipse.ajdt.mylyn.ui,1.6.4.20090313172428,org.eclipse.ajdt.mylyn.ui,1413614503530
started,bundle,org.aspectj.ajde,1.6.4.20090304172355,org.aspectj.ajde,1413614506423
started,bundle,org.eclipse.ajdt.core,1.6.4.20090313172428,org.eclipse.ajdt.core,1413614507410
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1413614507512
started,bundle,org.eclipse.ajdt.ui,1.6.4.20090313172428,org.eclipse.ajdt.ui,1413614507518
started,bundle,org.springframework.ide.eclipse.beans.mylyn,2.2.4.RELEASE,org.springframework.ide.eclipse.beans.mylyn,1413614507539
started,bundle,org.eclipse.mylyn.ide.ant,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.ide.ant,1413614507547
started,bundle,org.eclipse.mylyn.pde.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.pde.ui,1413614507553
started,bundle,org.eclipse.mylyn.resources.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.resources.ui,1413614507563
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1413614507801
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.exit,1413614508800
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1413614508938
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1413614508938
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1413614508938
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1413614508938
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1413614508938
